Model,R2,RMSE
RF (Tuned + Log),0.8796054313241884,4323.320953320371
RF (Log),0.8769551228832835,4370.647673850111
RF,0.8644756815249467,4586.935636079838
Linear,0.7835929767120723,5796.2846592762735
Ridge,0.7835410749121385,5796.979691180858
Ridge (Log),0.6082002187521053,7799.129376891372
Ridge (Tuned + Log),0.6082002187521053,7799.129376891372
Linear (Log),0.6066982575915573,7814.064025999211
